,quarter,time,down,togo,location,away_team,home_team,detail
21,1,5:40,2,10,LAR 13,0,0,Andy Dalton sacked by Greg Gaines for -8 yards
22,1,4:55,3,18,LAR 21,0,0,Taysom Hill sacked by Leonard Floyd for -7 yards
23,1,4:19,4,25,LAR 28,0,3,Wil Lutz 46 yard field goal good
24,1,4:14,0,0,NOR 35,0,3,"Wil Lutz kicks off 61 yards, returned by Brandon Powell for 34 yards (tackle by Daniel Sorensen)"
25,1,4:08,1,10,LAR 38,6,3,"Matthew Stafford pass complete deep left to Tutu Atwell for 62 yards, touchdown"
26,1,4:00,0,0,NOR 15,7,3,Matt Gay kicks extra point good
27,1,4:00,0,0,LAR 35,7,3,"Matt Gay kicks off 65 yards, touchback."
28,1,4:00,1,10,NOR 25,7,3,Alvin Kamara right end for 1 yard (tackle by Marquise Copeland)
29,1,3:23,2,9,NOR 26,7,3,Andy Dalton pass complete short left to Chris Olave for 12 yards (tackle by David Long)
30,1,2:46,1,10,NOR 38,7,3,Andy Dalton pass incomplete short right intended for Rashid Shaheed
31,1,2:42,2,10,NOR 38,7,3,Alvin Kamara left tackle for 1 yard (tackle by A'Shawn Robinson and Aaron Donald)
32,1,1:59,3,9,NOR 39,7,3,Andy Dalton pass complete short left to Adam Trautman for 3 yards (tackle by Jalen Ramsey)
33,1,1:19,4,6,NOR 42,7,3,Blake Gillikin punts 55 yards downed by Andrew Dowell
34,1,1:09,1,10,LAR 3,7,3,Cam Akers right tackle for 2 yards (tackle by Paulson Adebo)
35,1,0:27,2,8,LAR 5,7,3,Matthew Stafford pass incomplete short left intended for Tyler Higbee
36,1,0:24,3,8,LAR 5,7,3,Matthew Stafford pass incomplete short left intended for Van Jefferson (defended by Alontae Taylor)
37,1,0:19,4,8,LAR 5,7,3,"Riley Dixon punts 49 yards, fair catch by Rashid Shaheed at NO-46. Penalty on Jacob Harris: Player Out of Bounds on a Punt, 5 yards (accepted) "
38,1,0:11,1,10,LAR 49,7,3,Alvin Kamara right guard for 11 yards (tackle by Taylor Rapp)
39,2,15:00,1,10,LAR 38,7,3,Taysom Hill left tackle for 12 yards (tackle by Jalen Ramsey)
40,2,14:19,1,10,LAR 26,7,3,Taysom Hill pass incomplete deep left intended for Juwan Johnson
41,2,14:14,2,10,LAR 26,7,3,Andy Dalton pass complete short middle to Alvin Kamara for 15 yards (tackle by Ernest Jones and Bobby Wagner)
42,2,13:36,1,10,LAR 11,7,3,Alvin Kamara left guard for 2 yards (tackle by A'Shawn Robinson)
43,2,12:59,2,8,LAR 9,7,3,Taysom Hill left guard for 1 yard (tackle by Leonard Floyd and Ernest Jones)
44,2,12:18,3,7,LAR 8,7,9,"Andy Dalton pass complete to Juwan Johnson for 8 yards, touchdown"
45,2,12:11,0,0,LAR 15,7,10,Wil Lutz kicks extra point good
46,2,12:11,0,0,NOR 35,7,10,"Wil Lutz kicks off 65 yards, touchback."
47,2,12:11,1,10,LAR 25,7,10,Cam Akers right tackle for 7 yards (tackle by Tyrann Mathieu)
48,2,11:32,2,3,LAR 32,7,10,Cam Akers left tackle for 2 yards (tackle by David Onyemata)
49,2,10:42,3,1,LAR 34,7,10,Kyren Williams left guard for 2 yards (tackle by Carl Granderson)
50,2,10:03,1,10,LAR 36,7,10,Kyren Williams left guard for no gain (tackle by Chris Harris and David Onyemata)
51,2,9:19,2,10,LAR 36,7,10,Kyren Williams left guard for 5 yards (tackle by Shy Tuttle and Demario Davis)
52,2,8:35,3,5,LAR 41,7,10,Matthew Stafford scrambles right end for 4 yards (tackle by Paulson Adebo)
53,2,7:44,4,1,LAR 45,7,10,Cam Akers left end for 13 yards (tackle by Tyrann Mathieu)
54,2,6:57,1,10,NOR 42,7,10,Cam Akers right end for 4 yards (tackle by Kaden Elliss)
55,2,6:18,2,6,NOR 38,7,10,Matthew Stafford pass incomplete deep right intended for Van Jefferson
56,2,6:12,3,6,NOR 38,7,10,Matthew Stafford pass complete short left to Ben Skowronek for 4 yards (tackle by Demario Davis)
57,2,5:29,4,2,NOR 34,7,10,Kyren Williams right guard for -1 yards (tackle by Payton Turner and Demario Davis)
58,2,5:23,1,10,NOR 36,7,10,Alvin Kamara left guard for 5 yards (tackle by Bobby Wagner and Nick Scott)
59,2,4:44,2,5,NOR 41,7,10,Alvin Kamara right guard for -1 yards (tackle by Aaron Donald and Leonard Floyd)
60,2,4:03,3,6,NOR 40,7,10,Andy Dalton pass complete short right to Alvin Kamara for 4 yards (tackle by Derion Kendrick and Bobby Wagner)
61,2,3:20,4,2,NOR 44,7,10,"Blake Gillikin punts 43 yards, fair catch by Brandon Powell at LA-13"
62,2,3:13,1,10,LAR 13,7,10,Cam Akers left guard for 4 yards (tackle by Shy Tuttle and Kentavius Street)
63,2,2:37,2,6,LAR 17,7,10,Cam Akers left tackle for 5 yards (tackle by Demario Davis and Kaden Elliss)
64,2,2:00,3,1,LAR 22,7,10,Matthew Stafford pass complete short left to Allen Robinson for 9 yards (tackle by Alontae Taylor)
65,2,1:39,1,10,LAR 31,7,10,Matthew Stafford pass complete short middle to Van Jefferson for 16 yards (tackle by Tyrann Mathieu)
66,2,1:17,1,10,LAR 47,7,10,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Tyrann Mathieu)
67,2,1:12,2,10,LAR 47,7,10,Matthew Stafford pass complete deep right to Van Jefferson for 20 yards
68,2,1:06,1,10,NOR 33,7,10,Matthew Stafford pass complete short right to Tyler Higbee for 3 yards (tackle by Tyrann Mathieu)
69,2,1:02,2,7,NOR 30,7,10,Matthew Stafford pass complete short left to Kyren Williams for 8 yards (tackle by Alontae Taylor)
70,2,0:55,1,10,NOR 22,7,10,Matthew Stafford pass complete short right to Brandon Powell for 8 yards (tackle by Chris Harris)
71,2,0:36,2,2,NOR 14,7,10,"Matthew Stafford pass complete short middle to Brandon Powell for no gain (tackle by Demario Davis). Penalty on Bobby Evans: Offensive Holding, 10 yards (accepted) (no play)"
72,2,0:30,2,12,NOR 24,7,10,Matthew Stafford pass complete short middle to Tyler Higbee for 18 yards (tackle by Tyrann Mathieu and Kaden Elliss)
73,2,0:22,1,6,NOR 6,13,10,"Matthew Stafford pass complete short right to Allen Robinson for 6 yards, touchdown"
74,2,0:19,0,0,NOR 15,14,10,Matt Gay kicks extra point good
75,2,0:19,0,0,LAR 35,14,10,"Matt Gay kicks off 65 yards, touchback."
76,2,0:19,1,10,NOR 25,14,10,Andy Dalton kneels for -1 yards
77,3,15:00,0,0,LAR 35,14,10,"Matt Gay kicks off 65 yards, touchback."
78,3,15:00,1,10,NOR 25,14,10,Andy Dalton pass complete deep left to Chris Olave for 18 yards (tackle by Troy Hill)
79,3,14:22,1,10,NOR 43,14,10,Alvin Kamara left guard for 6 yards (tackle by Ernest Jones and Taylor Rapp)
80,3,13:45,2,4,NOR 49,14,10,Alvin Kamara right guard for 2 yards (tackle by Aaron Donald and Bobby Wagner)
81,3,13:04,3,2,LAR 49,14,10,Andy Dalton pass complete short left to Alvin Kamara for 13 yards (tackle by Derion Kendrick)
82,3,12:32,1,10,LAR 36,14,10,Andy Dalton pass incomplete short right
83,3,12:26,2,10,LAR 36,14,10,Andy Dalton pass complete short left to Alvin Kamara for 15 yards (tackle by Taylor Rapp)
84,3,11:52,1,10,LAR 21,14,10,David Johnson left end for -4 yards (tackle by Aaron Donald)
85,3,11:10,2,14,LAR 25,14,10,Andy Dalton pass complete short middle to Jarvis Landry for 18 yards (tackle by Jalen Ramsey)
86,3,10:27,1,7,LAR 7,14,16,"Andy Dalton pass complete short left to Jarvis Landry for 7 yards, touchdown"
87,3,10:23,0,0,LAR 15,14,17,Wil Lutz kicks extra point good
88,3,10:23,0,0,NOR 35,14,17,"Wil Lutz kicks off 65 yards, touchback."
89,3,10:23,1,10,LAR 25,14,17,Cam Akers left tackle for 2 yards (tackle by Kaden Elliss and David Onyemata)
90,3,9:45,2,8,LAR 27,14,17,Matthew Stafford pass incomplete deep right intended for Ben Skowronek
91,3,9:38,3,8,LAR 27,14,17,Matthew Stafford sacked by and Demario Davis for -9 yards and Tanoh Kpassagnon for -9 yards
92,3,8:50,4,17,LAR 18,14,17,"Riley Dixon punts 40 yards, returned by Rashid Shaheed for no gain (tackle by Justin Hollins and Christian Rozeboom). Penalty on Justin Evans: Offensive Holding, 10 yards (accepted) "
93,3,8:40,1,10,NOR 32,14,17,Taysom Hill right tackle for 7 yards (tackle by Nick Scott)
94,3,8:04,2,3,NOR 39,14,17,Andy Dalton pass complete short middle to Taysom Hill for 8 yards (tackle by Bobby Wagner)
95,3,7:23,1,10,NOR 47,14,17,Andy Dalton sacked by Greg Gaines for -13 yards
96,3,6:38,2,23,NOR 34,14,17,Andy Dalton pass complete short left to Juwan Johnson for 13 yards (tackle by Jalen Ramsey and Bobby Wagner)
97,3,5:55,3,10,NOR 47,14,23,"Andy Dalton pass complete deep middle to Chris Olave for 53 yards, touchdown"
98,3,5:47,0,0,LAR 15,14,24,Wil Lutz kicks extra point good
99,3,5:47,0,0,NOR 35,14,24,"Wil Lutz kicks off 65 yards, touchback."
100,3,5:47,1,10,LAR 25,14,24,Cam Akers right guard for no gain (tackle by Carl Granderson and Kaden Elliss)
101,3,5:11,2,10,LAR 25,14,24,Bryce Perkins right end for 23 yards (tackle by Tyrann Mathieu and Shy Tuttle)
102,3,4:33,1,10,LAR 48,14,24,Bryce Perkins right end for 2 yards (tackle by Jabari Zuniga)
103,3,3:56,2,8,LAR 50,14,24,Kyren Williams left guard for 7 yards (tackle by Marcus Maye)
104,3,3:21,3,1,NOR 43,14,24,Bryce Perkins right end for 7 yards (tackle by Alontae Taylor)
105,3,2:47,1,10,NOR 36,14,24,Cam Akers left guard for 2 yards (tackle by Kaden Elliss)
106,3,2:10,2,8,NOR 34,14,24,"Cam Akers right tackle for -1 yards (tackle by Kaden Elliss). Penalty on Matt Skura: Offensive Holding, 10 yards (accepted) (no play)"
107,3,1:45,2,18,NOR 44,14,24,Bryce Perkins pass complete short left to Brandon Powell for 8 yards (tackle by Carl Granderson)
108,3,0:58,3,10,NOR 36,14,24,Kyren Williams left tackle for 17 yards (tackle by Marcus Maye)
109,3,0:31,1,10,NOR 19,14,24,Bryce Perkins left end for 4 yards (tackle by Marcus Maye and Kaden Elliss)
110,4,15:00,2,6,NOR 15,14,24,Bryce Perkins pass incomplete short right intended for Tyler Higbee
111,4,14:55,3,6,NOR 15,14,24,Bryce Perkins pass incomplete short middle intended for Kyren Williams (defended by Shy Tuttle)
112,4,14:51,4,6,NOR 15,17,24,Matt Gay 33 yard field goal good
113,4,14:48,0,0,LAR 35,17,24,"Matt Gay kicks off 65 yards, touchback."
114,4,14:48,1,10,NOR 25,17,24,Taysom Hill left guard for 11 yards (tackle by Nick Scott and Bobby Wagner)
115,4,14:08,1,10,NOR 36,17,24,Andy Dalton pass complete short left to David Johnson for 11 yards (tackle by Taylor Rapp)
116,4,13:24,1,10,NOR 47,17,24,Taysom Hill pass complete short right to Chris Olave for 14 yards (tackle by Nick Scott)
117,4,12:47,1,10,LAR 39,17,24,"Alvin Kamara right guard for no gain (tackle by Leonard Floyd and Greg Gaines). Penalty on Aaron Donald: Face Mask (15 Yards), 15 yards (accepted) (no play)"
118,4,12:27,1,10,LAR 24,17,24,Taysom Hill left guard for 8 yards (tackle by Bobby Wagner)
119,4,11:47,2,2,LAR 16,17,24,Andy Dalton pass complete short right to Jarvis Landry for 8 yards (tackle by Troy Hill)
120,4,11:07,1,8,LAR 8,17,24,Andy Dalton pass complete short left to Chris Olave for 5 yards (tackle by Troy Hill and Taylor Rapp)
121,4,10:27,2,3,LAR 3,17,24,Andy Dalton sacked by Leonard Floyd for -11 yards
122,4,9:42,3,14,LAR 14,17,24,Andy Dalton pass complete short right to Rashid Shaheed for 8 yards (tackle by David Long)
123,4,9:09,4,6,LAR 6,17,27,Wil Lutz 25 yard field goal good
124,4,9:06,0,0,NOR 35,17,27,"Wil Lutz kicks off 65 yards, touchback."
125,4,9:06,1,10,LAR 25,17,27,Bryce Perkins pass complete short right to Allen Robinson for 17 yards (tackle by Alontae Taylor)
126,4,8:41,1,10,LAR 42,17,27,Bryce Perkins pass complete short right to Tyler Higbee for 4 yards (tackle by Kaden Elliss)
127,4,8:07,2,6,LAR 46,17,27,Cam Akers left end for 8 yards (tackle by Chris Harris)
128,4,7:24,1,10,NOR 46,17,27,Bryce Perkins pass incomplete short right intended for Ben Skowronek (defended by Kaden Elliss)
129,4,7:19,2,10,NOR 46,17,27,Cam Akers left guard for 2 yards (tackle by Kentavius Street and Carl Granderson)
130,4,6:28,3,8,NOR 44,17,27,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)"
131,4,6:28,3,13,NOR 49,17,27,Bryce Perkins pass incomplete deep right intended for Ben Skowronek
132,4,6:22,4,13,NOR 49,17,27,"Riley Dixon punts 41 yards, fair catch by Rashid Shaheed at NO-8"
133,4,6:16,1,10,NOR 8,17,27,Alvin Kamara left guard for 3 yards (tackle by Justin Hollins)
134,4,5:34,2,7,NOR 11,17,27,Andy Dalton pass complete short left to Marquez Callaway for 6 yards (tackle by Troy Hill)
135,4,4:54,3,1,NOR 17,17,27,Taysom Hill right guard for no gain (tackle by Bobby Wagner and Nick Scott)
136,4,3:50,4,1,NOR 17,17,27,"Blake Gillikin punts 51 yards, returned by Brandon Powell for -5 yards, lateral to Jalen Ramsey for no gain (tackle by Zack Baun). Penalty on Jake Gervase: Offensive Holding, 10 yards (accepted) "
137,4,3:36,1,10,LAR 22,17,27,Bryce Perkins right end for 3 yards (tackle by Demario Davis)
138,4,3:10,2,7,LAR 25,17,27,Bryce Perkins sacked by Carl Granderson for -9 yards
139,4,2:27,3,16,LAR 16,17,27,Bryce Perkins sacked by Kaden Elliss for -10 yards
140,4,2:00,4,26,LAR 6,17,27,"Riley Dixon punts 60 yards, returned by Rashid Shaheed for 17 yards (tackle by Jake Gervase)"
141,4,1:48,1,10,LAR 49,17,27,Taysom Hill right tackle for 2 yards (tackle by Troy Hill)
142,4,1:45,2,8,LAR 47,17,27,Taysom Hill left tackle for 3 yards (tackle by Marquise Copeland)
143,4,1:39,3,5,LAR 44,17,27,Andy Dalton pass incomplete deep right intended for Chris Olave
144,4,1:34,4,5,LAR 44,17,27,"Penalty on Bryce Thompson: False Start, 5 yards (accepted) (no play)"
145,4,1:34,4,10,LAR 49,17,27,"Blake Gillikin punts 37 yards, returned by Brandon Powell for 14 yards (tackle by Kaden Elliss)"
146,4,1:23,1,10,LAR 26,17,27,Bryce Perkins sacked by and Kaden Elliss for -7 yards and Carl Granderson for -7 yards
147,4,0:54,2,17,LAR 19,17,27,Kyren Williams right guard for 6 yards (tackle by David Onyemata)
148,4,0:33,3,11,LAR 25,17,27,Bryce Perkins pass complete deep middle to Tyler Higbee for 20 yards (tackle by Chris Harris)
149,4,0:28,1,10,LAR 45,17,27,Bryce Perkins pass complete short left to Allen Robinson for 15 yards (tackle by Alontae Taylor and Demario Davis)
150,4,0:12,1,10,NOR 40,17,27,Bryce Perkins spiked the ball
151,4,0:11,2,10,NOR 40,20,27,Matt Gay 58 yard field goal good
152,4,0:06,0,0,LAR 35,20,27,"Matt Gay kicks onside 9 yards, returned by Jarvis Landry for no gain"
153,4,0:05,1,10,LAR 44,20,27,Andy Dalton kneels for -1 yards
