,quarter,time,down,togo,location,away_team,home_team,detail
46,2,11:38,0,0,KAN 30,10,7,"Matt Ammendola kicks off 67 yards, returned by DeAndre Carter for 30 yards (tackle by Dicaprio Bootle and Isiah Pacheco)"
47,2,11:29,1,10,LAC 33,10,7,Justin Herbert pass incomplete deep right intended for Josh Palmer
48,2,11:25,2,10,LAC 33,10,7,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Jaylen Watson)
49,2,11:04,3,2,LAC 41,10,7,Austin Ekeler left end for 4 yards (tackle by Nick Bolton)
50,2,10:29,1,10,LAC 45,10,7,Austin Ekeler right guard for 4 yards (tackle by George Karlaftis)
51,2,9:51,2,6,LAC 49,10,7,Austin Ekeler left end for 4 yards (tackle by Nick Bolton)
52,2,9:06,3,2,KAN 47,10,7,Justin Herbert pass incomplete short right intended for Josh Palmer
53,2,9:03,4,2,KAN 47,10,7,"JK Scott punts 39 yards, fair catch by Skyy Moore at KC-8"
54,2,8:55,1,10,KAN 8,10,7,Clyde Edwards-Helaire left end for 4 yards (tackle by Joey Bosa and Jerry Tillery)
55,2,8:16,2,6,KAN 12,10,7,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by J.C. Jackson)
56,2,7:32,1,10,KAN 20,10,7,Patrick Mahomes pass complete short left to Mecole Hardman for 8 yards (tackle by Bryce Callahan)
57,2,6:50,2,2,KAN 28,10,7,Clyde Edwards-Helaire left end for 1 yard (tackle by Sebastian Joseph-Day and Derwin James)
58,2,6:10,3,1,KAN 29,10,7,Isiah Pacheco up the middle for no gain (tackle by Drue Tranquill and Nasir Adderley)
59,2,5:25,4,1,KAN 29,10,7,"Tommy Townsend punts 60 yards, returned by DeAndre Carter for 12 yards (tackle by Elijah Lee and Michael Burton)"
60,2,5:15,1,10,LAC 23,10,7,Justin Herbert pass complete short right to Josh Palmer for 10 yards (tackle by L'Jarius Sneed)
61,2,4:37,1,10,LAC 33,10,7,Austin Ekeler up the middle for 1 yard (tackle by Carlos Dunlap)
62,2,3:57,2,9,LAC 34,10,7,Justin Herbert pass complete short right to Josh Palmer for 10 yards (tackle by Jaylen Watson)
63,2,3:20,1,10,LAC 44,10,7,Austin Ekeler right guard for 3 yards (tackle by Carlos Dunlap and Derrick Nnadi)
64,2,2:37,2,7,LAC 47,10,7,Joshua Kelley left end for 6 yards (tackle by Juan Thornhill)
65,2,2:00,3,1,KAN 47,10,7,Justin Herbert sacked by Chris Jones for -1 yards
66,2,1:02,4,2,KAN 48,10,7,JK Scott punts 35 yards downed by Amen Ogbongbemiga
67,2,0:53,1,10,KAN 13,10,7,"Patrick Mahomes pass incomplete short right intended for Clyde Edwards-Helaire. Penalty on Andrew Wylie: Offensive Holding, 6 yards (accepted) (no play)"
68,2,0:49,1,16,KAN 7,10,7,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by J.C. Jackson)
69,2,0:33,2,12,KAN 11,10,7,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 6 yards (tackle by J.C. Jackson)
70,2,0:27,3,6,KAN 17,10,7,Patrick Mahomes pass incomplete deep right intended for Travis Kelce
71,2,0:22,4,6,KAN 17,10,7,Tommy Townsend punts 74 yards downed by Dicaprio Bootle
72,2,0:06,1,10,LAC 9,10,7,Justin Herbert kneels for -1 yards
73,3,15:00,0,0,KAN 35,10,7,"Matt Ammendola kicks off 65 yards, touchback."
74,3,15:00,1,10,LAC 25,10,7,Austin Ekeler right end for 2 yards (tackle by Frank Clark and Derrick Nnadi)
75,3,14:41,2,8,LAC 27,10,7,Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Willie Gay and Jaylen Watson)
76,3,14:20,3,1,LAC 34,10,7,Austin Ekeler left end for 7 yards (tackle by L'Jarius Sneed)
77,3,13:46,1,10,LAC 41,10,7,Justin Herbert pass complete short left to Austin Ekeler for 18 yards (tackle by Rashad Fenton)
78,3,13:06,1,10,KAN 41,10,7,Justin Herbert pass incomplete short right intended for Joshua Kelley (defended by Chris Jones)
79,3,13:03,2,10,KAN 41,10,7,Justin Herbert pass complete short left to Mike Williams for 14 yards (tackle by Rashad Fenton)
80,3,12:28,1,10,KAN 27,10,7,Joshua Kelley left guard for 8 yards (tackle by Juan Thornhill)
81,3,12:05,2,2,KAN 19,10,7,Joshua Kelley left guard for 1 yard (tackle by Khalen Saunders)
82,3,11:22,3,1,KAN 18,10,7,Austin Ekeler left end for no gain (tackle by Nick Bolton and Tershawn Wharton)
83,3,10:41,4,1,KAN 18,10,7,Austin Ekeler left end for 3 yards (tackle by Nick Bolton)
84,3,9:58,1,10,KAN 15,16,7,"Justin Herbert pass complete short right to Mike Williams for 15 yards, touchdown"
85,3,9:52,0,0,KAN 15,17,7,Dustin Hopkins kicks extra point good
86,3,9:52,0,0,LAC 35,17,7,"Dustin Hopkins kicks off 65 yards, touchback."
87,3,9:52,1,10,KAN 25,17,7,"Patrick Mahomes pass deep right is intercepted by Derwin James at 50 and returned for no gain. Penalty on Orlando Brown: Offensive Holding, 10 yards (offset) . Penalty on Nasir Adderley: Defensive Pass Interference, 15 yards (offset) (no play)"
88,3,9:43,1,10,KAN 25,17,7,"Patrick Mahomes pass short left intended for Travis Kelce is intercepted by Asante Samuel at KC-38 and returned for 3 yards (tackle by Creed Humphrey) Replay Assistant challenged the pass interception ruling, and the original play was overturned. Patrick Mahomes pass incomplete short left intended for Travis Kelce"
89,3,9:38,2,10,KAN 25,17,7,Patrick Mahomes pass complete short right to Noah Gray for 11 yards (tackle by J.C. Jackson and Kenneth Murray)
90,3,9:04,1,10,KAN 36,17,7,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 2 yards (tackle by J.C. Jackson)
91,3,8:28,2,8,KAN 38,17,7,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 21 yards (tackle by Bryce Callahan)
92,3,7:40,1,10,LAC 41,17,7,Patrick Mahomes pass incomplete short left
93,3,7:32,2,10,LAC 41,17,7,Patrick Mahomes pass incomplete short right intended for Mecole Hardman
94,3,7:28,3,10,LAC 41,17,13,"Patrick Mahomes pass complete deep left to Justin Watson for 41 yards, touchdown"
95,3,7:22,0,0,LAC 15,17,14,Matt Ammendola kicks extra point good
96,3,7:22,0,0,KAN 35,17,14,"Matt Ammendola kicks off 65 yards, touchback."
97,3,7:22,1,10,LAC 25,17,14,Sony Michel right end for 2 yards (tackle by Leo Chenal)
98,3,6:59,2,8,LAC 27,17,14,Justin Herbert pass complete short middle to Sony Michel for 6 yards (tackle by Nick Bolton and Leo Chenal)
99,3,6:36,3,2,LAC 33,17,14,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Justin Reid)
100,3,6:31,4,2,LAC 33,17,14,"JK Scott punts 38 yards, fair catch by Skyy Moore at KC-29"
101,3,6:24,1,10,KAN 29,17,14,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 7 yards (tackle by J.C. Jackson)
102,3,5:47,2,3,KAN 36,17,14,Clyde Edwards-Helaire right guard for 2 yards (tackle by Khalil Mack)
103,3,5:08,3,1,KAN 38,17,14,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling (defended by Kyle Van Noy)
104,3,5:03,4,1,KAN 38,17,14,"Tommy Townsend punts 53 yards, fair catch by DeAndre Carter at LAC-9"
105,3,4:56,1,10,LAC 9,17,14,Justin Herbert pass incomplete intended for Zander Horvath (defended by George Karlaftis)
106,3,4:52,2,10,LAC 9,17,14,Justin Herbert pass incomplete short right intended for Gerald Everett (defended by Willie Gay)
107,3,4:47,3,10,LAC 9,17,14,Justin Herbert sacked by Chris Jones for -7 yards
108,3,4:09,4,17,LAC 2,17,14,"JK Scott punts 34 yards, fair catch by Skyy Moore at LAC-36"
109,3,3:59,1,10,LAC 36,17,14,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling
110,3,3:54,2,10,LAC 36,17,14,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for no gain (tackle by Asante Samuel)
111,3,3:17,3,10,LAC 36,17,14,Patrick Mahomes pass complete short right to Mecole Hardman for 11 yards (tackle by Asante Samuel)
112,3,2:27,1,10,LAC 25,17,14,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)"
113,3,2:14,1,15,LAC 30,17,14,Patrick Mahomes pass complete short left to Justin Watson for 9 yards
114,3,1:34,2,6,LAC 21,17,14,Patrick Mahomes pass complete short right to Travis Kelce for 18 yards (tackle by Derwin James)
115,3,1:17,1,3,LAC 3,17,14,Jerick McKinnon up the middle for 2 yards (tackle by Drue Tranquill and Kyle Van Noy)
116,3,0:34,2,1,LAC 1,17,14,Patrick Mahomes pass incomplete short left intended for Jody Fortson (defended by Asante Samuel)
117,3,0:30,3,1,LAC 1,17,14,Patrick Mahomes pass complete short middle to Travis Kelce for no gain (tackle by Sebastian Joseph-Day)
118,4,15:00,4,1,LAC 1,17,17,Matt Ammendola 19 yard field goal good
119,4,14:58,0,0,KAN 35,17,17,"Matt Ammendola kicks off 65 yards, touchback."
120,4,14:58,1,10,LAC 25,17,17,"Penalty on Bryan Cook: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)"
121,4,14:58,1,10,LAC 40,17,17,Justin Herbert pass complete short right to Austin Ekeler for 2 yards (tackle by Khalen Saunders and Nick Bolton)
122,4,14:13,2,8,LAC 42,17,17,Justin Herbert pass complete short right to Austin Ekeler for 7 yards (tackle by Nick Bolton and Willie Gay)
123,4,13:44,3,1,LAC 49,17,17,Austin Ekeler left end for 4 yards (tackle by Willie Gay and Tershawn Wharton)
124,4,13:14,1,10,KAN 47,17,17,Justin Herbert pass complete short left to Josh Palmer for 3 yards (tackle by Willie Gay)
125,4,12:32,2,7,KAN 44,17,17,Justin Herbert pass complete short right to DeAndre Carter for 8 yards (tackle by Juan Thornhill)
126,4,11:56,1,10,KAN 36,17,17,Justin Herbert pass complete short left to Gerald Everett for 7 yards (tackle by L'Jarius Sneed)
127,4,11:12,2,3,KAN 29,17,17,Justin Herbert pass complete short right to Gerald Everett for 26 yards (tackle by Tershawn Wharton and Justin Reid)
128,4,10:43,1,3,KAN 3,17,23,"Justin Herbert pass short right intended for Gerald Everett is intercepted by Jaylen Watson at KC-1 and returned for 99 yards, touchdown"
129,4,10:29,0,0,LAC 15,17,24,Matt Ammendola kicks extra point good
130,4,10:29,0,0,KAN 35,17,24,"Matt Ammendola kicks off 65 yards, touchback."
131,4,10:29,1,10,LAC 25,17,24,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Willie Gay)
132,4,9:50,2,7,LAC 28,17,24,Austin Ekeler left end for 5 yards (tackle by Darius Harris)
133,4,9:14,3,2,LAC 33,17,24,Austin Ekeler left end for -2 yards (tackle by Chris Jones and Derrick Nnadi)
134,4,8:26,4,4,LAC 31,17,24,"Penalty on Josh Harris: False Start, 5 yards (accepted) (no play)"
135,4,8:25,4,9,LAC 26,17,24,"JK Scott punts 44 yards, returned by Skyy Moore for no gain (tackle by Chris Rumph and Josh Harris). Penalty on Bryan Cook: Unnecessary Roughness / Defense, 15 yards (accepted) "
136,4,8:15,1,10,KAN 15,17,24,Clyde Edwards-Helaire left guard for 3 yards (tackle by Jerry Tillery)
137,4,7:38,2,7,KAN 18,17,24,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 13 yards (tackle by Derwin James)
138,4,6:57,1,10,KAN 31,17,24,Jerick McKinnon left guard for 4 yards (tackle by Drue Tranquill)
139,4,6:14,2,6,KAN 35,17,24,Patrick Mahomes pass incomplete short right intended for Noah Gray (defended by Kyle Van Noy)
140,4,6:08,3,6,KAN 35,17,24,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling
141,4,6:03,4,6,KAN 35,17,24,"Tommy Townsend punts 51 yards, fair catch by DeAndre Carter at LAC-14"
142,4,5:55,1,10,LAC 14,17,24,Justin Herbert pass incomplete short right intended for Austin Ekeler
143,4,5:51,2,10,LAC 14,17,24,Justin Herbert pass complete short right to Gerald Everett for 8 yards (tackle by Nick Bolton)
144,4,5:10,3,2,LAC 22,17,24,Justin Herbert pass complete short right to Gerald Everett for 12 yards (tackle by Justin Reid)
145,4,4:52,1,10,LAC 34,17,24,Sony Michel right guard for 4 yards (tackle by Frank Clark)
146,4,4:15,2,6,LAC 38,17,24,Justin Herbert pass incomplete short left intended for Gerald Everett
147,4,4:10,3,6,LAC 38,17,24,Justin Herbert pass incomplete short right intended for Mike Williams (defended by Willie Gay)
148,4,4:06,4,6,LAC 38,17,24,"JK Scott punts 53 yards, returned by Skyy Moore for 6 yards (tackle by Chris Rumph)"
149,4,3:55,1,10,KAN 15,17,24,Clyde Edwards-Helaire right end for 52 yards (tackle by Nasir Adderley)
150,4,3:45,1,10,KAN 30,17,24,"Penalty on Derwin James: Face Mask (15 Yards), 15 yards (accepted) "
151,4,3:45,1,10,LAC 18,17,24,Jerick McKinnon up the middle for 1 yard (tackle by Sebastian Joseph-Day and Morgan Fox)
152,4,3:36,2,9,LAC 17,17,24,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling
153,4,3:32,3,9,LAC 17,17,24,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by Drue Tranquill and Derwin James)
154,4,3:24,4,5,LAC 13,17,27,Matt Ammendola 31 yard field goal good
155,4,3:20,0,0,KAN 35,17,27,"Matt Ammendola kicks off 51 yards, returned by DeAndre Carter for 13 yards (tackle by Isiah Pacheco)"
156,4,3:16,1,10,LAC 27,17,27,Justin Herbert pass complete short left to Austin Ekeler for 21 yards (tackle by Rashad Fenton and Juan Thornhill)
157,4,2:52,1,10,LAC 48,17,27,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Rashad Fenton)
158,4,2:45,2,4,KAN 46,17,27,Justin Herbert pass complete short right to Joshua Kelley for 3 yards (tackle by L'Jarius Sneed)
159,4,2:12,3,1,KAN 43,17,27,Justin Herbert pass incomplete short right
160,4,2:05,4,1,KAN 43,17,27,Justin Herbert pass complete deep middle to DeAndre Carter for 35 yards (tackle by L'Jarius Sneed)
161,4,1:58,1,8,KAN 8,17,27,Justin Herbert pass complete short right to Austin Ekeler for 1 yard (tackle by Willie Gay)
162,4,1:38,2,7,KAN 7,17,27,Justin Herbert pass incomplete short middle intended for Josh Palmer
163,4,1:35,3,7,KAN 7,17,27,Justin Herbert pass complete short left to Austin Ekeler for no gain (tackle by Willie Gay)
164,4,1:15,4,7,KAN 7,23,27,"Justin Herbert pass complete short middle to Josh Palmer for 7 yards, touchdown"
165,4,1:11,0,0,KAN 15,24,27,Dustin Hopkins kicks extra point good
166,4,1:11,0,0,LAC 35,24,27,"Dustin Hopkins kicks onside 9 yards, returned by Noah Gray for no gain"
167,4,1:09,1,10,LAC 44,24,27,Patrick Mahomes kneels for no gain
168,4,0:30,2,10,LAC 44,24,27,Patrick Mahomes kneels for -1 yards
